,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,sex,Embarked_C,Embarked_Q,Embarked_S
0,0,2,1,23.0,0,0,15.0458,1,1,0,0
1,1,2,0,24.0,2,1,27.0,0,0,0,1
2,0,3,0,48.0,1,3,34.375,0,0,0,1
3,1,1,0,52.0,1,1,93.5,0,0,0,1
4,1,2,0,4.0,1,1,23.0,0,0,0,1
5,0,3,1,19.0,0,0,8.05,1,0,0,1
6,1,1,0,51.0,1,0,77.9583,0,0,0,1
7,0,3,0,45.0,0,1,14.4542,0,1,0,0
8,0,2,1,42.0,0,0,13.0,1,0,0,1
9,1,3,1,32.0,0,0,7.925,1,0,0,1
10,1,2,1,0.67,1,1,14.5,1,0,0,1
11,1,2,0,34.0,1,1,32.5,0,0,0,1
12,0,1,1,47.0,0,0,25.5875,1,0,0,1
13,0,1,1,46.0,1,0,61.175,1,0,0,1
14,0,3,1,19.0,0,0,6.75,1,0,1,0
15,0,3,1,4.0,3,2,27.9,1,0,0,1
16,0,2,1,24.0,0,0,13.0,1,0,0,1
17,0,2,1,29.0,0,0,10.5,1,0,0,1
18,1,2,0,32.0,0,0,13.0,0,0,0,1
19,0,3,1,35.0,0,0,7.05,1,0,0,1
20,0,3,1,19.0,0,0,0.0,1,0,0,1
21,0,3,1,44.0,0,1,16.1,1,0,0,1
22,0,1,1,33.0,0,0,5.0,1,0,0,1
23,1,2,0,41.0,0,1,19.5,0,0,0,1
24,1,3,0,24.0,0,2,16.7,0,0,0,1
25,0,3,1,42.0,0,0,8.6625,1,0,0,1
26,0,3,0,29.0,1,1,10.4625,0,0,0,1
27,1,1,0,19.0,1,0,91.0792,0,1,0,0
28,1,1,0,14.0,1,2,120.0,0,0,0,1
29,0,3,1,32.0,0,0,8.3625,1,0,0,1
30,1,2,1,0.83,1,1,18.75,1,0,0,1
31,0,3,1,24.0,2,0,24.15,1,0,0,1
32,1,2,0,31.0,1,1,26.25,0,0,0,1
33,0,3,1,19.0,0,0,14.5,1,0,0,1
34,1,1,1,48.0,1,0,76.7292,1,1,0,0
35,0,3,1,22.0,0,0,7.25,1,0,0,1
36,0,3,1,21.0,0,0,7.8542,1,0,0,1
37,0,3,0,23.0,0,0,7.925,0,0,0,1
38,1,2,0,48.0,1,2,65.0,0,0,0,1
39,1,3,1,25.0,0,0,0.0,1,0,0,1
40,0,3,1,4.0,4,1,29.125,1,0,1,0
41,1,1,0,43.0,0,1,211.3375,0,0,0,1
42,1,3,0,30.0,0,0,12.475,0,0,0,1
43,1,3,1,3.0,1,1,15.9,1,0,0,1
44,1,1,1,48.0,1,0,52.0,1,0,0,1
45,1,3,0,24.0,1,0,15.85,0,0,0,1
46,0,3,1,35.0,0,0,7.125,1,0,0,1
47,1,2,0,24.0,1,2,65.0,0,0,0,1
48,1,3,0,2.0,0,1,12.2875,0,0,0,1
49,0,3,0,9.0,1,1,15.2458,0,1,0,0
50,0,3,1,41.0,2,0,14.1083,1,0,0,1
51,1,2,0,18.0,0,1,23.0,0,0,0,1
52,0,3,1,37.0,2,0,7.925,1,0,0,1
53,0,3,1,35.0,0,0,8.05,1,0,0,1
54,1,1,0,35.0,1,0,83.475,0,0,0,1
55,1,3,1,12.0,1,0,11.2417,1,1,0,0
56,0,3,1,51.0,0,0,7.0542,1,0,0,1
57,0,1,1,24.0,0,1,247.5208,1,1,0,0
58,1,3,1,9.0,1,1,15.9,1,0,0,1
59,0,2,1,46.0,0,0,26.0,1,0,0,1
60,0,1,1,51.0,0,1,61.3792,1,1,0,0
61,0,3,1,16.0,0,0,7.775,1,0,0,1
62,0,3,1,2.0,4,1,29.125,1,0,1,0
63,1,1,0,16.0,0,1,39.4,0,0,0,1
64,0,3,1,4.0,4,2,31.275,1,0,0,1
65,0,3,1,17.0,0,0,7.125,1,0,0,1
66,0,3,1,27.0,0,0,7.8958,1,0,0,1
67,0,3,1,39.0,0,0,24.15,1,0,0,1
68,0,3,1,32.0,1,0,15.85,1,0,0,1
69,1,1,0,19.0,0,0,30.0,0,0,0,1
70,0,3,0,30.5,0,0,7.75,0,0,1,0
71,0,1,1,52.0,1,1,79.65,1,0,0,1
72,1,1,0,22.0,0,2,49.5,0,1,0,0
73,1,1,0,50.0,0,1,247.5208,0,1,0,0
74,1,3,1,16.0,0,0,8.05,1,0,0,1
75,1,1,1,36.0,1,2,120.0,1,0,0,1
76,0,3,1,25.0,1,0,7.775,1,0,0,1
77,0,3,1,7.0,4,1,39.6875,1,0,0,1
78,0,3,1,36.0,1,0,15.55,1,0,0,1
79,0,1,1,28.0,1,0,82.1708,1,1,0,0
80,0,2,1,16.0,0,0,26.0,1,0,0,1
81,0,1,1,19.0,3,2,263.0,1,0,0,1
82,1,1,1,38.0,1,0,90.0,1,0,0,1
83,0,1,1,38.0,0,1,153.4625,1,0,0,1
84,0,3,1,14.0,5,2,46.9,1,0,0,1
85,1,1,0,33.0,0,0,86.5,0,0,0,1
86,0,2,1,25.0,1,2,41.5792,1,1,0,0
87,1,2,0,42.0,0,0,13.0,0,0,0,1
88,0,2,1,16.0,0,0,10.5,1,0,0,1
89,0,3,0,18.0,2,0,18.0,0,0,0,1
90,0,3,1,40.0,1,1,15.5,1,0,1,0
91,0,3,1,26.0,0,0,7.8958,1,0,0,1
92,1,3,1,19.0,0,0,8.05,1,0,0,1
93,1,2,0,45.0,0,0,13.5,0,0,0,1
94,1,1,0,17.0,1,0,57.0,0,0,0,1
95,0,2,1,30.0,0,0,13.0,1,0,0,1
96,0,2,1,28.0,0,1,33.0,1,0,0,1
97,0,3,1,74.0,0,0,7.775,1,0,0,1
98,1,1,0,35.0,0,0,512.3292,0,1,0,0
99,0,2,1,18.0,0,0,11.5,1,0,0,1
100,1,1,1,34.0,0,0,26.55,1,0,0,1
101,1,2,0,50.0,0,1,26.0,0,0,0,1
102,1,1,1,36.0,0,0,26.3875,1,0,0,1
103,0,1,1,71.0,0,0,34.6542,1,1,0,0
104,1,1,1,42.0,0,0,26.2875,1,0,0,1
105,0,1,1,62.0,0,0,26.55,1,0,0,1
106,0,2,1,23.0,2,1,11.5,1,0,0,1
107,0,3,1,42.0,0,0,7.55,1,0,0,1
108,0,2,1,18.0,0,0,13.0,1,0,0,1
109,0,3,0,14.5,1,0,14.4542,0,1,0,0
110,1,3,1,22.0,0,0,7.225,1,1,0,0
111,0,2,1,70.0,0,0,10.5,1,0,0,1
112,1,1,0,38.0,0,0,227.525,0,1,0,0
113,1,3,1,27.0,0,0,7.7958,1,0,0,1
114,0,2,1,48.0,0,0,13.0,1,0,0,1
115,0,2,1,29.0,1,0,21.0,1,0,0,1
116,0,3,0,6.0,4,2,31.275,0,0,0,1
117,1,1,0,53.0,2,0,51.4792,0,0,0,1
118,1,2,0,50.0,0,0,10.5,0,0,0,1
119,1,3,0,5.0,4,2,31.3875,0,0,0,1
120,1,3,1,29.0,0,0,7.8958,1,1,0,0
121,1,2,0,17.0,0,0,10.5,0,0,0,1
122,1,1,0,54.0,1,0,78.2667,0,1,0,0
123,1,1,0,58.0,0,1,153.4625,0,0,0,1
124,0,3,1,35.0,0,0,7.8958,1,1,0,0
125,1,2,0,28.0,1,0,26.0,0,0,0,1
126,1,2,1,1.0,0,2,37.0042,1,1,0,0
127,1,3,0,1.0,1,1,11.1333,0,0,0,1
128,0,3,1,26.0,1,0,14.4542,1,1,0,0
